headline,language,label,headline_en,num_evidence,max_rel,mean_rel,p90_rel,max_ent,max_con_used,mean_ent,mean_con,context_mismatch_rate,update_style_rate
"India, China to hold 7th Corps Commander-level talks today at Chushul",en,1,"India, China to hold 7th Corps Commander-level talks today at Chushul",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",en,1,"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",en,1,"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seven Indians kidnapped in Libya in September released,en,1,Seven Indians kidnapped in Libya in September released,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",en,1,"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi government exempts road tax for battery operated vehicles,en,1,Delhi government exempts road tax for battery operated vehicles,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",en,1,"Another Lockdown? Puja festivities in Delhi to take a blow, govt disallows fairs and processions",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",en,1,"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra govt complains to CJI against alleged intervention by sitting SC judge,en,1,Andhra govt complains to CJI against alleged intervention by sitting SC judge,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",en,1,"J&K: Pakistan violates ceasefire in Poonch, Indian Army replies befittingly",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,en,1,Indian Railways upgradation plan: AC coaches to replace general and sleeper coaches in high-speed trains,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",en,1,"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",en,1,"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad ",en,1,"Jharkhand: JMM leader Shankar Rawani, wife found murdered at residence in Dhanbad",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJP releases list of candidates for by-elections in 5 states,en,1,BJP releases list of candidates for by-elections in 5 states,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic,en,1,'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congress woman leader beaten up by party workers for questioning decision to field 'rapist',en,1,Congress woman leader beaten up by party workers for questioning decision to field 'rapist',0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know,en,1,SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBI registers FIR against accused in Hathras gang-rape case; takes over investigation,en,1,CBI registers FIR against accused in Hathras gang-rape case; takes over investigation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage,en,1,'Police must adhere to norms': Centre issues fresh advisory to States on women safety amid Hathras outrage,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates ",en,1,"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11,en,1,SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assam: Kamakhya temple to open for devotees from today,en,1,Assam: Kamakhya temple to open for devotees from today,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hathras gang-rape case transferred to CBI, FIR to be filed soon ",en,1,"Hathras gang-rape case transferred to CBI, FIR to be filed soon",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,en,1,Assam to close-down all state-run madrassas from November: Himanta Biswa Sarma,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here",en,1,"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar Assembly Election 2020: Congress releases list of 30-star campaigners ,en,1,Bihar Assembly Election 2020: Congress releases list of 30-star campaigners,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Last rites of Ram Vilas Paswan performed in Patna with full state honours,en,1,Last rites of Ram Vilas Paswan performed in Patna with full state honours,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in",en,1,"DU Admission 2020: Delhi University releases first cut-off list, check @du.ac.in",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",en,1,"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda,en,1,Nitish Kumar humiliated my father: Chirag Paswan in open letter to JP Nadda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10",en,1,"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC issues revised guidelines for upcoming polls; limits number of star campaigners,en,1,EC issues revised guidelines for upcoming polls; limits number of star campaigners,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas,en,1,Goa becomes first 'Har Ghar Jal' state by providing tap water connections in rural areas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Last rites of Ram Vilas Paswan to take place in Patna today with full state honours,en,1,Last rites of Ram Vilas Paswan to take place in Patna today with full state honours,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10",en,1,"Odisha: By-polls for Balasore, Tirtol constituencies to be held on Nov 3; results on Nov 10",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DNA Special: How adulterated vegetables are affecting our health, well-being",en,1,"DNA Special: How adulterated vegetables are affecting our health, well-being",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel,en,1,Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow",en,1,"Rajasthan: BJP slams state govt for priest's brutal killing, Karauli-Dholpur MP Manoj Rajoria to meet kin tomorrow",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,en,1,More trouble for Arnab Goswami as Mumbai Crime Branch summons top Republic TV official,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam",en,1,"Shiv Sena leader Sanjay Raut lauds Mumbai Police's 'courageous step' of busting Rs 30,000 crore TRP scam",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out",en,1,"West Bengal: Man arrested with firearm in BJP rally, controversy erupts over his turban being pulled out",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rajasthan temple priest set on fire in Karauli over land dispute, accused arrested",en,1,"Rajasthan temple priest set on fire in Karauli over land dispute, accused arrested",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerala: Padmanabhaswamy Temple closed for darshan till Oct 15 after 10 priests test COVID-19 positive,en,1,Kerala: Padmanabhaswamy Temple closed for darshan till Oct 15 after 10 priests test COVID-19 positive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Modi to launch physical distribution of property cards under SVAMITVA Scheme on October 11,en,1,PM Modi to launch physical distribution of property cards under SVAMITVA Scheme on October 11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution",en,1,"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"President, PM Modi, others pay last respects to former minister Ram Vilas Paswan",en,1,"President, PM Modi, others pay last respects to former minister Ram Vilas Paswan",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"India reports 70,496 new cases, 964 deaths; tally breaches 69 lakh-mark",en,1,"India reports 70,496 new cases, 964 deaths; tally breaches 69 lakh-mark",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"To curb air pollution, action plan to be implemented from October 15 in Delhi-NCR",en,1,"To curb air pollution, action plan to be implemented from October 15 in Delhi-NCR",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COVID-19 cases in Delhi may surge to 15,000 per day in winters: Report",en,1,"COVID-19 cases in Delhi may surge to 15,000 per day in winters: Report",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA Special: TRP racket is big bad blot on journalism,en,1,DNA Special: TRP racket is big bad blot on journalism,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National flag to fly at half mast on Friday as mark of respect to Ram Vilas Paswan,en,1,National flag to fly at half mast on Friday as mark of respect to Ram Vilas Paswan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Minister Ram Vilas Paswan dies days after heart surgery,en,1,Union Minister Ram Vilas Paswan dies days after heart surgery,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reforms in education, labour, agriculture impact almost every Indian: PM Modi",en,1,"Reforms in education, labour, agriculture impact almost every Indian: PM Modi",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nabanno Chalo: BJP slams Bengal police for using 'chemical-filled' water cannons, Mamata govt refutes charges",en,1,"Nabanno Chalo: BJP slams Bengal police for using 'chemical-filled' water cannons, Mamata govt refutes charges",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bengal BJP workers clash with police during 'Nabanna Chalo' protest march, crowd dispersed with lathi-charge",en,1,"Bengal BJP workers clash with police during 'Nabanna Chalo' protest march, crowd dispersed with lathi-charge",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mumbai Police exposes racket to manipulate TRPs, two arrested; Republic TV on its radar",en,1,"Mumbai Police exposes racket to manipulate TRPs, two arrested; Republic TV on its radar",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC ",en,1,"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hathras victim deserves justice not slander: Priyanka Gandhi,en,1,Hathras victim deserves justice not slander: Priyanka Gandhi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indian Air Force Day 2020: Virat Kohli pays tribute to nationÕs heroes,en,1,Indian Air Force Day 2020: Virat Kohli pays tribute to nationÕs heroes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAF displays prowess on 88th Air Force Day; COAS says ready to safeguard India in all circumstances,en,1,IAF displays prowess on 88th Air Force Day; COAS says ready to safeguard India in all circumstances,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Noida's Jewar International Airport will open floodgates of development in western Uttar Pradesh, here's how",en,1,"Noida's Jewar International Airport will open floodgates of development in western Uttar Pradesh, here's how",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revised Unlock 5.0 guidelines: Home ministry issues fresh SOPs for political gatherings in election states,en,1,Revised Unlock 5.0 guidelines: Home ministry issues fresh SOPs for political gatherings in election states,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"India takes strong punch at Pakistan, calls for strong action against terrorism supporters",en,1,"India takes strong punch at Pakistan, calls for strong action against terrorism supporters",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amid COVID-19 crisis, Maharashtra becomes first state to regulate prices of masks",en,1,"Amid COVID-19 crisis, Maharashtra becomes first state to regulate prices of masks",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US Election 2020: Kamala-Pence debate opens with clash over Trump administration's COVID-19 response,en,1,US Election 2020: Kamala-Pence debate opens with clash over Trump administration's COVID-19 response,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes,en,1,DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mother, baby die during quack-assisted delivery in Noida, bodies dumped",en,1,"Mother, baby die during quack-assisted delivery in Noida, bodies dumped",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwan tells China to 'get lost' after Chinese mission asks Indian media to follow 'one China' policy ,en,1,Taiwan tells China to 'get lost' after Chinese mission asks Indian media to follow 'one China' policy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All you need to know about high-security registration plate and colour-coded stickers,en,1,All you need to know about high-security registration plate and colour-coded stickers,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Former CBI director Ashwani Kumar found hanging in Shimla home, say cops",en,1,"Former CBI director Ashwani Kumar found hanging in Shimla home, say cops",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zee News Editor-in-Chief Sudhir Chaudhary gets call from Pakistan again,en,1,Zee News Editor-in-Chief Sudhir Chaudhary gets call from Pakistan again,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Atal tunnel: After 3 accidents in 72 hours, new rules come into effect",en,1,"Atal tunnel: After 3 accidents in 72 hours, new rules come into effect",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Railway Ministry's private player train project receives 120 applications for 12 clusters, check full details",en,1,"Railway Ministry's private player train project receives 120 applications for 12 clusters, check full details",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India believes indigenous defence capabilities are foundations to peace: Rajnath Singh,en,1,India believes indigenous defence capabilities are foundations to peace: Rajnath Singh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navratri 2020: UP CM Yogi Adityanath takes this big decision for women safety,en,1,Navratri 2020: UP CM Yogi Adityanath takes this big decision for women safety,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Income Tax raids in Patna, Sasaram and Varanasi; Rs 1.25 crore seized ",en,1,"Income Tax raids in Patna, Sasaram and Varanasi; Rs 1.25 crore seized",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRO builds India's longest steel bridge on Manali-Leh highway,en,1,BRO builds India's longest steel bridge on Manali-Leh highway,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cabinet approves to complete Kolkata East-West Metro Corridor Project by 2021 for Rs 8,575 crores",en,1,"Cabinet approves to complete Kolkata East-West Metro Corridor Project by 2021 for Rs 8,575 crores",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amid border tensions with China, Indian defence forces considering 'Made in India' carbine",en,1,"Amid border tensions with China, Indian defence forces considering 'Made in India' carbine",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RBSE class 10 supplementary exams: Results declared, check @rajeduboard.rajasthan.gov.in.",en,1,"RBSE class 10 supplementary exams: Results declared, check @rajeduboard.rajasthan.gov.in.",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centre decides to launch COVID-19 awareness campaign from today,en,1,Centre decides to launch COVID-19 awareness campaign from today,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar Assembly Election 2020: Know caste calculus of ticket distribution by BJP-RJD-Congress ,en,1,Bihar Assembly Election 2020: Know caste calculus of ticket distribution by BJP-RJD-Congress,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Work on Jewar International Airport to start soon, key pact signed",en,1,"Work on Jewar International Airport to start soon, key pact signed",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM Modi wishes Russian President Vladimir Putin on 68th birthday,en,1,PM Modi wishes Russian President Vladimir Putin on 68th birthday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"India, Japan finalise cybersecurity agreement on 5G, AI cooperation",en,1,"India, Japan finalise cybersecurity agreement on 5G, AI cooperation",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Unlock 5.0 school reopening guidelines explained: Know when, how schools will open",en,1,"Unlock 5.0 school reopening guidelines explained: Know when, how schools will open",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kashmir: Security forces eliminate four terrorists in 16 hours,en,1,Kashmir: Security forces eliminate four terrorists in 16 hours,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan: Minor girl gang-raped in Barmer; case registered,en,1,Rajasthan: Minor girl gang-raped in Barmer; case registered,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milestone: PM Modi enters 20th year in public office without break,en,1,Milestone: PM Modi enters 20th year in public office without break,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIADMK announces E Palaniswami as CM candidate for 2021 TN polls; gets 11-member steering committee,en,1,AIADMK announces E Palaniswami as CM candidate for 2021 TN polls; gets 11-member steering committee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bihar Assembly Election 2020: List of Congress candidates likely to be fielded for 20 seats,en,1,Bihar Assembly Election 2020: List of Congress candidates likely to be fielded for 20 seats,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bombay HC grants bail to Rhea Chakraborty, rejects brother Showik's plea",en,1,"Bombay HC grants bail to Rhea Chakraborty, rejects brother Showik's plea",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amid COVID-19, 85.17% voter turnout recorded in third phase of Rajasthan Panchayat elections",en,1,"Amid COVID-19, 85.17% voter turnout recorded in third phase of Rajasthan Panchayat elections",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hathras case: On Yogi's orders, SIT gets 10-day extension to submit report",en,1,"Hathras case: On Yogi's orders, SIT gets 10-day extension to submit report",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jobs for women in AP: 5,905 Anganwadi posts to be filled soon",en,1,"Jobs for women in AP: 5,905 Anganwadi posts to be filled soon",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Data: Between 2000 & 2020, Asian American voters grew by 139%, more than any other group",en,1,"Data: Between 2000 & 2020, Asian American voters grew by 139%, more than any other group",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data: The analysis of Electoral Bonds sold in January 2020,en,1,Data: The analysis of Electoral Bonds sold in January 2020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polls to 55 Rajya Sabha Seats: NDA may lose 4 to 5 seats while UPA may gain 3 seats,en,1,Polls to 55 Rajya Sabha Seats: NDA may lose 4 to 5 seats while UPA may gain 3 seats,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Political donations through Electoral Bonds are 10 times the contributions received by Electoral Trusts,en,1,Political donations through Electoral Bonds are 10 times the contributions received by Electoral Trusts,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Income of National Parties soars in 2018-19, thanks to Electoral Bonds",en,1,"Income of National Parties soars in 2018-19, thanks to Electoral Bonds",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
